OBJECTID,Site Name,Technology Type,Installed Capacity (MWelec),Development Status
1406,Polmaugan Farm,Solar Photovoltaics,5,Operational
1408,Land at Gilley's Mill Dam,Solar Photovoltaics,5,Operational
1409,East Lenham Solar Farm,Solar Photovoltaics,6.6,Operational
1410,Steventon Solar Park,Solar Photovoltaics,10,Operational
1411,Westwood Farm Solar Park,Solar Photovoltaics,5.1,Operational
1412,Meadow Farm solar park,Solar Photovoltaics,6,Operational
1415,Sutton Mawr Farm,Solar Photovoltaics,7.5,Operational
1416,Carloggas Farm Solar Park,Solar Photovoltaics,8.3,Operational
1418,Lincoln Farm,Solar Photovoltaics,11.4,Operational
1419,Llwyn Du Solar Farm,Solar Photovoltaics,8,Operational
1420,West Hill Farm (solar),Solar Photovoltaics,7.3,Operational
1424,Elms Farm,Solar Photovoltaics,29,Operational
1426,Rock Farm / Goldborough Farm (Rookwood),Solar Photovoltaics,5,Operational
1427,Great Wilbraham Solar Farm,Solar Photovoltaics,38.1,Operational
1428,Somerton Door Farm,Solar Photovoltaics,8.7,Operational
1429,Barugh Farm,Solar Photovoltaics,5,Operational
1431,Lains Farm,Solar Photovoltaics,5,Operational
1432,Great Seabrook Farm,Solar Photovoltaics,5,Operational
1433,Cotgrave solar farm,Solar Photovoltaics,4.9,Operational
1436,Parkview solar park,Solar Photovoltaics,6.5,Operational
1437,Overton,Solar Photovoltaics,4,Operational
1439,Lower Basset Down Farm,Solar Photovoltaics,10.5,Operational
1441,Morfa Farm,Solar Photovoltaics,2,Operational
1443,Barton Close Farm,Solar Photovoltaics,5.5,Operational
1444,Wiggin Hill Solar Farm - Phase 1,Solar Photovoltaics,6.8,Operational
1451,Wilton Farm (pv),Solar Photovoltaics,9.5,Operational
1453,Canada Farm,Solar Photovoltaics,8.3,Operational
1454,Hoback Farm,Solar Photovoltaics,13.1,Operational
1455,The Rainbows Solar Farm,Solar Photovoltaics,4,Operational
1457,Salcey Solar Farm,Solar Photovoltaics,5,Operational
1460,Hillsmoor Solar Farm,Solar Photovoltaics,1.2,Operational
1461,Desford Solar Farm,Solar Photovoltaics,5,Operational
1462,Iwood Lane Solar Farm,Solar Photovoltaics,8,Operational
1464,Playters Solar Farm,Solar Photovoltaics,8.6,Operational
1465,Bypass Nurseries Solar Farm,Solar Photovoltaics,3.3,Operational
1466,Warrington Home Solar Scheme,Solar Photovoltaics,5.3,Operational
1467,Babergh Home Solar Scheme,Solar Photovoltaics,2.8,Operational
1468,Mid Suffolk Home Solar Scheme,Solar Photovoltaics,4.8,Operational
1469,Garn Solar Farm,Solar Photovoltaics,7.4,Operational
1470,Trethosa Farm Solar Park,Solar Photovoltaics,4.8,Operational
1471,Garvinack Farm Solar Park,Solar Photovoltaics,7,Operational
1472,Caswell Farm Solar Park,Solar Photovoltaics,6.7,Operational
1473,Epwell Grounds Farm solar park,Solar Photovoltaics,7,Operational
1474,Pant-Y-Moch Farm,Solar Photovoltaics,5,Operational
1476,Woolbridge Solar Park,Solar Photovoltaics,5,Operational
1477,Tengore Lane ,Solar Photovoltaics,3.6,Operational
1478,Manor Farm (Dorset),Solar Photovoltaics,5,Operational
1479,Hadlow Place solar farm,Solar Photovoltaics,14.3,Operational
1480,Bassingbourn Solar Farm,Solar Photovoltaics,14.4,Operational
1481,Lower Pennington Farm,Solar Photovoltaics,2.7,Operational
1482,Goose Willow Farm - extension,Solar Photovoltaics,7,Operational
1483,Avenue Farm,Solar Photovoltaics,7.3,Operational
1484,Sywell Road,Solar Photovoltaics,5,Operational
1486,Gosfield Airfield,Solar Photovoltaics,12.6,Operational
1487,Exning,Solar Photovoltaics,29.9,Operational
1488,Grange Farm (Avon),Solar Photovoltaics,21,Operational
1489,Land at East Farm - extension,Solar Photovoltaics,6,Operational
1492,Laughton Level,Solar Photovoltaics,7,Operational
1493,Croydon / Church Farm (Royston),Solar Photovoltaics,16.5,Operational
1494,Hadley Farm (Orta Membury Solar Farm),Solar Photovoltaics,17,Operational
1497,Manor Farm (Wiltshire) ,Solar Photovoltaics,6.3,Operational
1498,Tonge Corner Farm,Solar Photovoltaics,22,Operational
1499,Oaklands Farm ,Solar Photovoltaics,6.9,Operational
1500,North East of Ainderby Steeple,Solar Photovoltaics,5.9,Operational
1503,Errol Estate,Solar Photovoltaics,13,Operational
1504,Grange Farm,Solar Photovoltaics,6,Operational
1510,Wraysbury Landfill,Solar Photovoltaics,4.8,Operational
1512,Wisbridge Farm,Solar Photovoltaics,9.3,Operational
1514,Caddington Solar Farm (Phase 1),Solar Photovoltaics,3,Operational
1515,Capeland Farm,Solar Photovoltaics,8.3,Operational
1516,Castle Combe Circuit,Solar Photovoltaics,12,Operational
1517,Castle Eaton Farm,Solar Photovoltaics,17.8,Operational
1518,Chancery Farm (Ardleigh),Solar Photovoltaics,11.9,Operational
1519,Clapham solar farm,Solar Photovoltaics,7.5,Operational
1521,Chelveston Airfield,Solar Photovoltaics,16,Operational
1522,Chisbon Solar Farm (Frowick Lane),Solar Photovoltaics,13,Operational
1523,Clawdd Ddu PV,Solar Photovoltaics,13.5,Operational
1524,Congresbury Solar Farm,Solar Photovoltaics,7.1,Operational
1525,Abergelli Glas Solar Farm,Solar Photovoltaics,7.7,Operational
1526,Anthony Estate Solar Farm,Solar Photovoltaics,4.7,Operational
1527,Aston House Solar Farm,Solar Photovoltaics,20,Operational
1529,Bakers Farm (solar),Solar Photovoltaics,12,Operational
1530,Balls Wood Solar Farm,Solar Photovoltaics,8.7,Operational
1531,Barn Farm ,Solar Photovoltaics,4.2,Operational
1533,Bay Farm,Solar Photovoltaics,8.1,Operational
1535,Berwick solar farm,Solar Photovoltaics,8.2,Operational
1536,Bidwell Solar Farm ,Solar Photovoltaics,5,Operational
1538,Bilsham Farm,Solar Photovoltaics,14.5,Operational
1540,Blackwell Grange Solar Farm,Solar Photovoltaics,5,Operational
1541,Blenches Mill,Solar Photovoltaics,6.1,Operational
1542,Bobbing solar farm,Solar Photovoltaics,11.3,Operational
1543,Bodmin 2 Solar Farm,Solar Photovoltaics,5.3,Operational
1544,Bottom Plain,Solar Photovoltaics,10,Operational
1545,Braydon Manor Farm,Solar Photovoltaics,8.7,Operational
1546,Brynwhilach Solar Park,Solar Photovoltaics,4,Operational
1547,Bulls Head Farm North,Solar Photovoltaics,4.7,Operational
1549,Burrowton Farm,Solar Photovoltaics,5,Operational
1552,Ebbsfleet Solar Farm,Solar Photovoltaics,5,Operational
1553,Court Colman solar park,Solar Photovoltaics,15,Operational
1554,Cowdown Lane,Solar Photovoltaics,40,Operational
1555,Crannaford Solar Farm,Solar Photovoltaics,12.5,Operational
1556,Cwmcaesingrug Farm,Solar Photovoltaics,10,Operational
1558,Decoy Farm House Solar Modules,Solar Photovoltaics,6,Operational
1561,Hadley Solar Farm,Solar Photovoltaics,6.6,Operational
1562,Hall Farm Solar Farm (Newbold Verdon),Solar Photovoltaics,5,Operational
1563,Hammond Court Farm,Solar Photovoltaics,15,Operational
1565,Hatch Penn Farm PV,Solar Photovoltaics,1,Operational
1566,Hayford Farm - extension,Solar Photovoltaics,8.2,Operational
1569,High Penn Solar Park,Solar Photovoltaics,9.6,Operational
1570,Highfields Farm (Braintree),Solar Photovoltaics,2.8,Operational
1571,Highfields Farm (Colchester),Solar Photovoltaics,12.2,Operational
1572,Hill End Farm,Solar Photovoltaics,2.8,Operational
1574,Holwell Hill,Solar Photovoltaics,6,Operational
1575,Hook Valley Solar Park,Solar Photovoltaics,17,Operational
1576,Partridge Farm,Solar Photovoltaics,10.6,Operational
1577,Aspatria,Solar Photovoltaics,19,Operational
1578,Penare Farm Solar Farm,Solar Photovoltaics,11,Operational
1579,Pencoose Farm,Solar Photovoltaics,8.5,Operational
1580,Pensipple Farm,Solar Photovoltaics,5,Operational
1581,Pingewood Road South,Solar Photovoltaics,15.8,Operational
1582,Pingry Farm - Phase 1,Solar Photovoltaics,3.4,Operational
1583,Pitworthy Farm Solar Park,Solar Photovoltaics,15.6,Operational
1584,Primrose Hill Farm,Solar Photovoltaics,3.7,Operational
1585,Pyde Drove,Solar Photovoltaics,7,Operational
1586,Race farm,Solar Photovoltaics,6.1,Operational
1587,Radcliffe Solar Farm,Solar Photovoltaics,4.2,Operational
1589,Redhall Industrial Estate,Solar Photovoltaics,5,Operational
1590,Ring O Bells Farm,Solar Photovoltaics,5,Operational
1591,Roanhead Farm,Solar Photovoltaics,6.5,Operational
1592,Rotherdale Farm - extension,Solar Photovoltaics,9,Operational
1593,Roundponds Farm Solar Park,Solar Photovoltaics,13.5,Operational
1594,Hopton Road Industrial Estate,Solar Photovoltaics,1.3,Operational
1596,Field House Solar / Hursley Road,Solar Photovoltaics,6.4,Operational
1597,Kencot Hill Solar Farm,Solar Photovoltaics,37,Operational
1598,KERNICK MICA DAM - SOLAR FARM,Solar Photovoltaics,12,Operational
1600,Landmead Farm (East Hanney),Solar Photovoltaics,46,Operational
1602,Lower Newton Farm,Solar Photovoltaics,11.5,Operational
1603,Lower Slade Farm,Solar Photovoltaics,4.1,Operational
1604,Lower Ufford Lane,Solar Photovoltaics,1.1,Operational
1605,Lynt Farm,Solar Photovoltaics,27,Operational
1606,Marchington Solar Farm,Solar Photovoltaics,4.3,Operational
1609,Monksham Solar Farm,Solar Photovoltaics,10.7,Operational
1610,Moorhouse Lane,Solar Photovoltaics,1.8,Operational
1611,Morton Wood Farm,Solar Photovoltaics,4.8,Operational
1613,Natewood Farm,Solar Photovoltaics,8.9,Operational
1614,Netley Landfill Solar,Solar Photovoltaics,12,Operational
1615,New Stone House,Solar Photovoltaics,12.5,Operational
1616,North Creake Airfield ,Solar Photovoltaics,20,Operational
1617,North of Newton Farm,Solar Photovoltaics,3,Operational
1619,Roves Farm (Solar) ,Solar Photovoltaics,12.7,Operational
1620,Salhouse Solar Farm,Solar Photovoltaics,5,Operational
1621,Norton Hall,Solar Photovoltaics,2.8,Operational
1622,Oaklands Plantation,Solar Photovoltaics,5,Operational
1623,Ockendon Landfill Solar Farm,Solar Photovoltaics,38,Operational
1624,Packington Solar Farm,Solar Photovoltaics,13.9,Operational
1625,SAUNDERCROFT SOLAR FARM,Solar Photovoltaics,7,Operational
1626,Sedbury Park,Solar Photovoltaics,5,Operational
1627,Six Hills Solar Farm,Solar Photovoltaics,18.7,Operational
1628,South Newton Farm,Solar Photovoltaics,11.3,Operational
1629,Southdown Quarry,Solar Photovoltaics,1.5,Operational
1630,Southfield Farm Solar Park ,Solar Photovoltaics,11.5,Operational
1631,Spittleborough Farm,Solar Photovoltaics,12,Operational
1632,Stanton solar park,Solar Photovoltaics,5,Operational
1633,Stantway Solar Farm,Solar Photovoltaics,5,Operational
1634,Stonebarrow Farm,Solar Photovoltaics,8,Operational
1635,Stowbridge Farm,Solar Photovoltaics,24,Operational
1636,Stratton Hall Solar Park,Solar Photovoltaics,11.6,Operational
1637,Sutton Montis Road Solar Park / Sutton Bridge Solar Farm,Solar Photovoltaics,5.4,Operational
1638,Thame solar farm,Solar Photovoltaics,4.3,Operational
1641,The Flit,Solar Photovoltaics,10.5,Operational
1642,The Old Airfield,Solar Photovoltaics,5,Operational
1643,Thorne Farm,Solar Photovoltaics,6.2,Operational
1644,Tiers Cross Solar Farm,Solar Photovoltaics,24,Operational
1645,Tilmanstone Colliery,Solar Photovoltaics,10,Operational
1646,Toggam Farm,Solar Photovoltaics,12.5,Operational
1647,Tower Hill Farm,Solar Photovoltaics,8.1,Operational
1648,Toyota Motor Manufacturing Uk - Deeside,Solar Photovoltaics,3.8,Operational
1649,Trench Farm,Solar Photovoltaics,7.2,Operational
1650,Troughton Farm,Solar Photovoltaics,30,Operational
1651,Turweston Solar Farm,Solar Photovoltaics,16.7,Operational
1652,Upper Farm solar park,Solar Photovoltaics,12,Operational
1653,Upper Huntingford Farm,Solar Photovoltaics,7.7,Operational
1654,Walnut Yard (Phase 1),Solar Photovoltaics,1.8,Operational
1655,Water Eaton Farm / Port Farm,Solar Photovoltaics,34.8,Operational
1656,Wedgehill Farm,Solar Photovoltaics,13,Operational
1658,West Raynham,Solar Photovoltaics,49.9,Operational
1659,Westerfield Farm,Solar Photovoltaics,12.5,Operational
1660,Westover Farm ,Solar Photovoltaics,7,Operational
1661,Whitley Farm (1 of 2),Solar Photovoltaics,3.5,Operational
1662,Whitley Farm (2 of 2),Solar Photovoltaics,3.5,Operational
1663,Whitton Mawr,Solar Photovoltaics,6,Operational
1665,Winham Farm ,Solar Photovoltaics,5,Operational
1666,Woden Park,Solar Photovoltaics,5,Operational
1667,West Kingsmill Farm Solar Park,Solar Photovoltaics,1.6,Operational
1669,Bommertown Solar Farm,Solar Photovoltaics,5,Operational
1670,West Ditchen Farm ,Solar Photovoltaics,5,Operational
1671,Lower Marsh Farm,Solar Photovoltaics,5,Operational
1672,Bodorgan Solar Farm,Solar Photovoltaics,12.6,Operational
1673,Chapel Lane Parley Solar Farm Phase 2,Solar Photovoltaics,36,Operational
1675,Arkwright Solar Farm,Solar Photovoltaics,8,Operational
1676,Charity Farm (Burlton Solar Farm),Solar Photovoltaics,14.4,Operational
1677,Verwood Solar Farm,Solar Photovoltaics,20.4,Operational
1678,Parciau Farm Solar Park,Solar Photovoltaics,13.9,Operational
1679,Smith Hall Farm Solar Park,Solar Photovoltaics,5,Operational
1680,Bystock Solar Farm,Solar Photovoltaics,4.1,Operational
1682,Bedborough Farm,Solar Photovoltaics,7,Operational
1683,Cranham Golf Course Solar Park,Solar Photovoltaics,2.6,Operational
1684,Hurcott Copse Solar Farm,Solar Photovoltaics,10,Operational
1686,Grange Farm Solar Farm,Solar Photovoltaics,4.9,Operational
1687,Trehawke Barton (Doddycross) Solar Farm,Solar Photovoltaics,10.6,Operational
1691,Newton Ferrers solar park,Solar Photovoltaics,19.5,Operational
1692,Nancrossa Farm solar park,Solar Photovoltaics,6,Operational
1693,Pitts Farm,Solar Photovoltaics,2.6,Operational
1694,Walmoor Farm solar park,Solar Photovoltaics,4,Operational
1695,Trequite Farm solar park ,Solar Photovoltaics,9.9,Operational
1696,Bentley Estate,Solar Photovoltaics,5,Operational
1697,New Row Farm,Solar Photovoltaics,3.9,Operational
1699,MALMAYNES HALL FARM,Solar Photovoltaics,12,Operational
1700,Crucis Park,Solar Photovoltaics,12.5,Operational
1701,Treguff Farm ,Solar Photovoltaics,4.4,Operational
1702,Kenardington Place Farm,Solar Photovoltaics,7,Operational
1703,Henbury Quarry,Solar Photovoltaics,3.9,Operational
1704,Grange Farm (Kirkby on Bain),Solar Photovoltaics,9,Operational
1707,Boxted Airfield,Solar Photovoltaics,18.8,Operational
1708,Rectory Farm/Emberton,Solar Photovoltaics,9,Operational
1709,St Francis Court Farm,Solar Photovoltaics,4,Operational
1713,Berry Court Farm,Solar Photovoltaics,4.2,Operational
1714,Walkers Wood Solar Park,Solar Photovoltaics,27,Operational
1715,Odell Glebe Solar Farm,Solar Photovoltaics,16.8,Operational
1716,Hunstrete (Wilmington Farm),Solar Photovoltaics,2.3,Operational
1717,Lower Severalls Farm,Solar Photovoltaics,10.8,Operational
1720,Burton Farm,Solar Photovoltaics,4.4,Operational
1721,Sundorne Grove,Solar Photovoltaics,20,Operational
1722,Lower End Farm,Solar Photovoltaics,4.9,Operational
1723,Skegness Solar Park,Solar Photovoltaics,4.9,Operational
1724,Land north of Temple Normanton,Solar Photovoltaics,4.9,Operational
1725,Helland Meads ,Solar Photovoltaics,1.2,Operational
1726,Crow Trees Farm,Solar Photovoltaics,4.7,Operational
1727,Priest Weston,Solar Photovoltaics,1,Operational
1729,Horam,Solar Photovoltaics,8.1,Operational
1731,Turves/Burtnhouse Solar Farm Extension,Solar Photovoltaics,4.7,Operational
1733,Coombe Farm,Solar Photovoltaics,8,Operational
1734,Higher Hill Farm (extension),Solar Photovoltaics,1.5,Operational
1735,Mount Farm,Solar Photovoltaics,22,Operational
1736,Hafod-Y-Dafal Farm,Solar Photovoltaics,14,Operational
1737,Barr Farm,Solar Photovoltaics,1.8,Operational
1738,BAE Samlesbury Aerodrome,Solar Photovoltaics,2,Operational
1739,Shoals Hook Farm,Solar Photovoltaics,12.1,Operational
1740,Manor Farm,Solar Photovoltaics,7.5,Operational
1741,Littlewood Farm,Solar Photovoltaics,14,Operational
1743,Cherry Tree Farm,Solar Photovoltaics,5,Operational
1744,Lodge Farm,Solar Photovoltaics,2.4,Operational
1745,Bumpers Farm Phase 1,Solar Photovoltaics,5,Operational
1746,Birch Airfield,Solar Photovoltaics,5.6,Operational
1747,Gaultney Solar Park,Solar Photovoltaics,20.5,Operational
1749,Puriton Landfill Solar Farm,Solar Photovoltaics,11.4,Operational
1751,Hunciecroft Farm,Solar Photovoltaics,8,Operational
1755,Rolleston Park Farm,Solar Photovoltaics,18.7,Operational
1759,Prestop Park Farm,Solar Photovoltaics,16,Operational
1760,Yardwall Manor,Solar Photovoltaics,3,Operational
1761,Royston Solar Farm (Phase 1) (a),Solar Photovoltaics,5,Operational
1762,MOD Lyneham,Solar Photovoltaics,40,Operational
1763,Deepdale Farm,Solar Photovoltaics,8,Operational
1764,Manor Farm (Horton),Solar Photovoltaics,5,Operational
1765,Penrhiwarwydd Farm,Solar Photovoltaics,8.5,Operational
1767,Nowhere Farm,Solar Photovoltaics,8.1,Operational
1769,Langar Lane,Solar Photovoltaics,10,Operational
1770,Pitchford,Solar Photovoltaics,10.2,Operational
1771,Condover Airfield,Solar Photovoltaics,12.3,Operational
1772,Askern Colliery solar farm,Solar Photovoltaics,5,Operational
1774,Maesgwyn solar farm,Solar Photovoltaics,7.5,Operational
1775,Church Farm,Solar Photovoltaics,6.2,Operational
1776,Folly Farm,Solar Photovoltaics,13.1,Operational
1777,Stowbridge Farm - Extension (Phase 2),Solar Photovoltaics,10,Operational
1778,Black Peak Farm,Solar Photovoltaics,31.8,Operational
1780,"Jubilee Farm, Barnby Moor",Solar Photovoltaics,5,Operational
1784,Newnham Estate,Solar Photovoltaics,14,Operational
1785,Wambrook Farm,Solar Photovoltaics,4.1,Operational
1786,Gawcott Fields Farm,Solar Photovoltaics,9.2,Operational
1787,Mount Mill Farm ,Solar Photovoltaics,12,Operational
1790,Handley Park ,Solar Photovoltaics,5,Operational
1791,Tollgate Farm,Solar Photovoltaics,4.3,Operational
1792,North Farm (Spetisbury),Solar Photovoltaics,11.6,Operational
1793,Chapel Lane Parley Solar Farm Phase 3,Solar Photovoltaics,4,Operational
1795,GDL Wymeswold Solar Farm/land off the A6006,Solar Photovoltaics,6.1,Operational
1796,Hillhouse Farm,Solar Photovoltaics,28.5,Operational
1797,Gib Lane (Aston Clinton solar park),Solar Photovoltaics,24.2,Operational
1798,Outwood Farm (Phase 1),Solar Photovoltaics,5,Operational
1799,Raventhorpe Farm,Solar Photovoltaics,38,Operational
1800,Manor Farm (Castle Cary),Solar Photovoltaics,1.8,Operational
1801,Maes Bach Farm,Solar Photovoltaics,4.9,Operational
1802,Sheepbridge Court Farm,Solar Photovoltaics,5,Operational
1805,Elton solar farm,Solar Photovoltaics,5,Operational
1806,Cross Roads Plantation,Solar Photovoltaics,5,Operational
1807,Munceys Farm,Solar Photovoltaics,31.6,Operational
1810,Luscott Barton,Solar Photovoltaics,13,Operational
1811,Kinmel 1 CIC,Solar Photovoltaics,5,Operational
1813,Owls Hatch Road,Solar Photovoltaics,48,Operational
1816,Wilbees Farm ,Solar Photovoltaics,5,Operational
1817,Winterbrook,Solar Photovoltaics,1.2,Operational
1818,Welbeck Solar / Hazel Gap,Solar Photovoltaics,16,Operational
1819,Homestead Farm (Alderton),Solar Photovoltaics,17.6,Operational
1821,Arna Wood Solar,Solar Photovoltaics,6.2,Operational
1822,Knottingley A,Solar Photovoltaics,5,Operational
1823,Clayhill Farm,Solar Photovoltaics,10,Operational
1824,Paddock Wood,Solar Photovoltaics,9.2,Operational
1826,Wick Farm (Burnham on Crouch),Solar Photovoltaics,5,Operational
1829,Netherfield Lane,Solar Photovoltaics,19.7,Operational
1830,Upper Meadowley Farm,Solar Photovoltaics,10.7,Operational
1832,Wick Farm Solar Park,Solar Photovoltaics,14.6,Operational
1835,High Leas,Solar Photovoltaics,6.5,Operational
1836,Atherstone,Solar Photovoltaics,14.7,Operational
1837,The Elms,Solar Photovoltaics,10.4,Operational
1838,Hunters Race Solar Park,Solar Photovoltaics,9.3,Operational
1839,Parham Airfield (Great Glenham),Solar Photovoltaics,17.5,Operational
1840,Chapel Lane Parley Solar Farm Phase 1,Solar Photovoltaics,20,Operational
1841,Welbeck Colliery,Solar Photovoltaics,11.3,Operational
1842,Priory Farm,Solar Photovoltaics,3.1,Operational
1843,Norrington Common Solar Farm,Solar Photovoltaics,10,Operational
1844,Hendre Fawr Farm,Solar Photovoltaics,11.6,Operational
1846,Northmoor,Solar Photovoltaics,5,Operational
1854,Manor Farm - Shripney,Solar Photovoltaics,5,Operational
1856,Chelwood Solar Farm,Solar Photovoltaics,5,Operational
1857,Manor Farm - Pertenhall,Solar Photovoltaics,15,Operational
1858,Hardingham Solar Farm - extension,Solar Photovoltaics,5.2,Operational
1865,Brooks Farm Solar Park,Solar Photovoltaics,8,Operational
1866,Christchurch Energy,Solar Photovoltaics,18,Operational
1867,Yarburgh Grove Farm,Solar Photovoltaics,8.1,Operational
1870,Taplins Farm solar park,Solar Photovoltaics,5.9,Operational
1872,Homestead Farm,Solar Photovoltaics,10.7,Operational
1877,The Kickles,Solar Photovoltaics,5,Operational
1878,Eakring Solar Farm,Solar Photovoltaics,11.9,Operational
1879,Egmanton Solar Farm ,Solar Photovoltaics,14.2,Operational
1881,Branston solar park,Solar Photovoltaics,18.9,Operational
1882,Golden Hill,Solar Photovoltaics,6.2,Operational
1883,Chapel Hill,Solar Photovoltaics,8,Operational
1884,Pen Rhiw Caradog,Solar Photovoltaics,4.7,Operational
1886,Vine Farm Solar Park,Solar Photovoltaics,45,Operational
1888,Coombeshead Solar Farm,Solar Photovoltaics,8,Operational
1889,Decoy Farm,Solar Photovoltaics,5,Operational
1890,Easington Farm (Chalgrove),Solar Photovoltaics,21.3,Operational
1891,Gelliwern Isaf Farm,Solar Photovoltaics,6,Operational
1892,Sawmills Solar Farm,Solar Photovoltaics,6.5,Operational
1893,Walland Farm,Solar Photovoltaics,5,Operational
1895,Weycock Road,Solar Photovoltaics,7,Operational
1899,Higher Bye Farm,Solar Photovoltaics,6.8,Operational
1900,Cockhill Solar Farm,Solar Photovoltaics,20,Operational
1901,Bentham Farm,Solar Photovoltaics,8,Operational
1902,Boscombe Airfield,Solar Photovoltaics,12.3,Operational
1904,Shotwick Solar Farm,Solar Photovoltaics,72.2,Operational
1905,Winnards Perch Solar Farm,Solar Photovoltaics,3.8,Operational
1908,Lodge Farm (Poulshot),Solar Photovoltaics,14.5,Operational
1909,Glebe Farm Solar Energy Park,Solar Photovoltaics,15,Operational
1910,Bryn yr Odyn Solar Farm,Solar Photovoltaics,15,Operational
1911,Rhyd-y-Pandy Solar Farm,Solar Photovoltaics,6,Operational
1912,Saron Road solar park,Solar Photovoltaics,6.7,Operational
1913,Tiln Farm solar park,Solar Photovoltaics,8,Operational
1914,Langford Solar Farm,Solar Photovoltaics,13,Operational
1915,Stokes Marsh Farm,Solar Photovoltaics,16.6,Operational
1916,West Hall Solar Farm,Solar Photovoltaics,7,Operational
1917,Stowbridge Farm - Extension (Phase 1),Solar Photovoltaics,10,Operational
1918,Bourne Park (Solar),Solar Photovoltaics,5,Operational
1919,Hall Farm,Solar Photovoltaics,5.1,Operational
1920,Brynteg Farm,Solar Photovoltaics,16.2,Operational
1921,Stonepit Farm,Solar Photovoltaics,5,Operational
1922,Yerbeston Gate Farm,Solar Photovoltaics,6.1,Operational
1923,Grange Farm (Lincolnshire),Solar Photovoltaics,12.7,Operational
1924,Molehill Farm,Solar Photovoltaics,18,Operational
1925,Pashley Farm,Solar Photovoltaics,11.5,Operational
1926,Fiskerton Airfield (Phase 1),Solar Photovoltaics,12,Operational
1927,Hendai Farm,Solar Photovoltaics,13.4,Operational
1928,Bury Lane Fruit Farm,Solar Photovoltaics,24,Operational
1929,Marsh Farm Hilperton,Solar Photovoltaics,9.1,Operational
1931,Ashlawn Farm,Solar Photovoltaics,6.8,Operational
1932,Cuckoo Grove Farm,Solar Photovoltaics,6.1,Operational
1933,Gedling Solar Farm,Solar Photovoltaics,5.7,Operational
1934,Bilsthorpe Quarry Solar Park,Solar Photovoltaics,4.8,Operational
1935,Littlebourne,Solar Photovoltaics,17,Operational
1936,Wellingborough Solar Farm,Solar Photovoltaics,8.5,Operational
1937,Baglan Bay Solar Farm - Phase 1,Solar Photovoltaics,5,Operational
1938,Gover Farm Solar Park,Solar Photovoltaics,8,Operational
1939,Kerriers Solar Park,Solar Photovoltaics,9.6,Operational
1940,Hullavington Solar Park,Solar Photovoltaics,7,Operational
1941,Crossness Sewage Works PV,Solar Photovoltaics,1.5,Operational
1942,Higher Hill Farm,Solar Photovoltaics,5,Operational
1943,Manor Farm (Keinton Mandeville),Solar Photovoltaics,1,Operational
1944,Walton WTW PV,Solar Photovoltaics,1.8,Operational
1945,Wolseley National Distribution Centre,Solar Photovoltaics,2,Operational
1956,South Beach Wind Turbine (Somerton),Wind Onshore,1.5,Operational
1957,Swaffham 1 - Ecotech Wind Park,Wind Onshore,1.5,Operational
1958,Mynydd Gorddu Wind Farm,Wind Onshore,10.2,Operational
1961,Cefn Croes Wind Farm,Wind Onshore,58.5,Operational
1962,Carno 'B' Wind Farm,Wind Onshore,16.8,Operational
1963,Carno 'A' Wind Farm,Wind Onshore,16.8,Operational
1964,Cemmaes 'B' Wind Farm,Wind Onshore,3.4,Operational
1965,Trysglwyn Wind Farm,Wind Onshore,5.6,Operational
1966,Hafoty Ucha '2' and '3' Wind Turbine,Wind Onshore,2.6,Operational
1969,Royal Seaforth Dock Wind Farm,Wind Onshore,3,Operational
1970,Cemmaes 'C' Wind Farm,Wind Onshore,15.3,Operational
1975,Llanbabo Wind Farm,Wind Onshore,20.4,Operational
1977,Tow Law Wind Farm,Wind Onshore,2.6,Operational
1978,Kirkheaton Wind Farm,Wind Onshore,1.8,Operational
1980,Great Eppleton Wind Farm,Wind Onshore,3,Operational
1987,Great Orton Wind Farm (Extension),Wind Onshore,2.3,Operational
1988,Harlock Hill Wind Farm,Wind Onshore,2.5,Operational
1989,Wharrels Hill Wind Farm,Wind Onshore,10.4,Operational
1992,Siddick Wind Farm,Wind Onshore,4.2,Operational
1993,Oldside Wind Farm,Wind Onshore,5.4,Operational
1994,Haverigg Extension Wind Farm,Wind Onshore,2.4,Operational
1997,Blaen Bowi Wind Farm,Wind Onshore,3.9,Operational
2001,Parc-Cynog Wind Farm,Wind Onshore,3.6,Operational
2012,Moel Maelogen A,Wind Onshore,2.6,Operational
2015,Out Newton Wind Farm,Wind Onshore,9,Operational
2023,Brockholes Wind Cluster,Wind Onshore,2.4,Operational
2024,Kilbraur Windfarm Farlary - Extension,Wind Onshore,20,Operational
2025,Maesgwyn,Wind Onshore,26,Operational
2028,Spicer Hill Wind Farm,Wind Onshore,6.9,Operational
2031,Ford Motor Company Ltd (Extension),Wind Onshore,2,Operational
2035,FMC Technologies,Wind Onshore,1.5,Operational
2039,Boyndie Airfield Extension,Wind Onshore,2.3,Operational
2042,Blue Gates Farm,Wind Onshore,1.5,Operational
2043,Celcon Blocks Ltd,Wind Onshore,2,Operational
2045,Hammar's Hill,Wind Onshore,4.3,Operational
2052,"F M C Land, Pitreavie Business Park",Wind Onshore,1.5,Operational
2056,Strath of Brydock - Extension,Wind Onshore,2.3,Operational
2057,Hare Hill (East Ayrshire),Wind Onshore,13.2,Operational
2059,Kirkby Moor,Wind Onshore,4.8,Operational
2061,Bambers II,Wind Onshore,4.6,Operational
2063,Millennium Extension II,Wind Onshore,15,Operational
