OBJECTID,Site Name,Technology Type,Installed Capacity (MWelec),Development Status
942,PARK WOOD SOLAR FARM,Solar Photovoltaics,5,Operational
944,Promens Solar,Solar Photovoltaics,1.7,Operational
945,Malmesbury Solar,Solar Photovoltaics,5,Operational
946,Trefullock Solar Farm,Solar Photovoltaics,5,Operational
947,Lower Coombe Farm Solar,Solar Photovoltaics,1,Operational
948,Durrants Farm Solar,Solar Photovoltaics,4.5,Operational
950,Dunsfold Park Solar Farm,Solar Photovoltaics,2,Operational
951,Alan Bartlett & Sons Solar,Solar Photovoltaics,1.2,Operational
952,Tavells Lane Solar Farm,Solar Photovoltaics,5.3,Operational
953,LITTLE TREVEASE SOLAR PARK,Solar Photovoltaics,5.3,Operational
954,Cobbs Cross Solar Park,Solar Photovoltaics,5,Operational
955,NOTTINGTON LANE SOLAR FARM,Solar Photovoltaics,5,Operational
956,RUDGE FARM SOLAR FARM,Solar Photovoltaics,7,Operational
959,CRINACOTT SOLAR FARM (Pyworthy),Solar Photovoltaics,6.7,Operational
960,Chawton Farm Solar Farm,Solar Photovoltaics,3.2,Operational
961,VENTNOR ROAD SOLAR PARK,Solar Photovoltaics,4.8,Operational
962,ROOKERY FARM SOLAR FARM,Solar Photovoltaics,5.3,Operational
963,Little White Alice Solar Park,Solar Photovoltaics,1.3,Operational
964,Park Wall Solar Park,Solar Photovoltaics,5,Operational
965,Hall Farm Solar park,Solar Photovoltaics,15,Operational
968,Oulton Airfield Solar Farm (Phase 1),Solar Photovoltaics,5,Operational
971,Chalcroft Solar Park,Solar Photovoltaics,6.3,Operational
972,Bradford Solar Park,Solar Photovoltaics,5.3,Operational
974,Lower Coombe Farm (Bean Field),Solar Photovoltaics,1,Operational
975,Ffos Las Racecourse,Solar Photovoltaics,5.5,Operational
977,Woodforde Farm,Solar Photovoltaics,9,Operational
979,Kingston Farm,Solar Photovoltaics,5,Operational
980,Spriggs Farm,Solar Photovoltaics,12,Operational
983,Rotherdale Farm,Solar Photovoltaics,5,Operational
985,Turves Solar Farm ,Solar Photovoltaics,5,Operational
987,Rexton Cross,Solar Photovoltaics,2,Operational
990,Hatchlands Farm,Solar Photovoltaics,5.2,Operational
993,Land At Potash Farm,Solar Photovoltaics,7,Operational
996,Land at Upper Clayhill Farm,Solar Photovoltaics,4.9,Operational
997,Towerbrook Farm (Banwell Solar Farm),Solar Photovoltaics,7.2,Operational
1000,Twin Elm Solar Farm,Solar Photovoltaics,1,Operational
1009,Hardingham Solar Farm,Solar Photovoltaics,14.8,Operational
1011,Hollamoor Farm (PV),Solar Photovoltaics,2,Operational
1012,Langlands Solar Farm,Solar Photovoltaics,2.1,Operational
1013,Langunnett Solar Farm,Solar Photovoltaics,6.2,Operational
1015,Manston Solar Farm,Solar Photovoltaics,9.9,Operational
1016,Marsh House Solar Park,Solar Photovoltaics,5.5,Operational
1018,Morrisons roof mounted solar,Solar Photovoltaics,2,Operational
1020,Rickfield Farm solar park,Solar Photovoltaics,1,Operational
1023,Tump Solar Farm,Solar Photovoltaics,5,Operational
1024,West Farm (Solar),Solar Photovoltaics,7.7,Operational
1027,Owls Lodge Farm,Solar Photovoltaics,5,Operational
1029,Beckley Solar Farm,Solar Photovoltaics,1.7,Operational
1032,Oakham Farm,Solar Photovoltaics,8,Operational
1033,Limberlost Farm,Solar Photovoltaics,1.5,Operational
1034,Office Field,Solar Photovoltaics,7.2,Operational
1035,Sandys Moor Road,Solar Photovoltaics,2.9,Operational
1036,Skylark Meadow Solar park,Solar Photovoltaics,5,Operational
1038,Aldi Distribution Centre - Darlington,Solar Photovoltaics,1.2,Operational
1039,Bishops Sutton,Solar Photovoltaics,12,Operational
1040,Blackawton Solar Farm,Solar Photovoltaics,3,Operational
1041,BMW UK Manufacturing Ltd,Solar Photovoltaics,3,Operational
1042,Land to the East of Burton Lane,Solar Photovoltaics,2.6,Operational
1045,Land west of Hawkspur Green (Hill Hall Solar),Solar Photovoltaics,4.9,Operational
1046,Kingspan Insulation Solar Installation,Solar Photovoltaics,5,Operational
1047,Langley Hall Farm,Solar Photovoltaics,2.4,Operational
1048,Pond Farm,Solar Photovoltaics,3.6,Operational
1049,Nether Mill Farm ,Solar Photovoltaics,3.1,Operational
1050,NEWNTON DAIRY FARM,Solar Photovoltaics,7.2,Operational
1051,Pierces Farm,Solar Photovoltaics,1.7,Operational
1052,Rew Farm Solar Farm,Solar Photovoltaics,6.1,Operational
1057,Westbury (Closed) Landfill Site,Solar Photovoltaics,3.5,Operational
1058,Wiggin Hill Solar Farm - Phase 2,Solar Photovoltaics,4.1,Operational
1060,Grain Harvesters Ltd,Solar Photovoltaics,1,Operational
1062,Hyde Farm,Solar Photovoltaics,10.8,Operational
1064,St Francis Farm,Solar Photovoltaics,4,Operational
1065,Bishop’s Waltham Solar Farm,Solar Photovoltaics,12,Operational
1067,Nova Scotia Farm solar park,Solar Photovoltaics,13.9,Operational
1068,"Hall Farm, East Beckham",Solar Photovoltaics,10.2,Operational
1069,Cefn Betingau Farm,Solar Photovoltaics,9,Operational
1070,Hill Farm Solar Park (VoWH),Solar Photovoltaics,14.8,Operational
1071,Wix Lodge,Solar Photovoltaics,18.7,Operational
